"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"hip-to-be-square-pantry-floor","Pantry Floor","<p>Pantry Floor pattern from our Hip-to-be-square collection. Pattern #27-112. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","27-112-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/hip-to-be-square/thumbnails/pantry-floor.jpg","1","Pantry Floor pattern thumbnail","Pantry Floor - Hip-to-be-square Collection | ColorFlex Wallpaper","Pantry Floor pattern from our Hip-to-be-square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","hip-to-be-square","pantry-floor","4","Star Flowers,Big Scroll,Small Scroll,Outline","24x24","straight","SW0053 PORCELAIN,SW9009 SUBDUED SIENNA,SW6214 UNDERSEAS,SW7699 RUSTIC CITY,SW7740 MESSENGER BAG","27-112","","",""
"hip-to-be-square-pantry-floor","Pantry Floor","<p>Pantry Floor pattern from our Hip-to-be-square collection. Pattern #27-112. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","27-112-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/hip-to-be-square/thumbnails/pantry-floor.jpg","","","Pantry Floor - Hip-to-be-square Collection | ColorFlex Wallpaper","Pantry Floor pattern from our Hip-to-be-square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","hip-to-be-square","pantry-floor","4","Star Flowers,Big Scroll,Small Scroll,Outline","24x24","straight","SW0053 PORCELAIN,SW9009 SUBDUED SIENNA,SW6214 UNDERSEAS,SW7699 RUSTIC CITY,SW7740 MESSENGER BAG","27-112","","",""
"hip-to-be-square-pantry-floor","Pantry Floor","<p>Pantry Floor pattern from our Hip-to-be-square collection. Pattern #27-112. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","27-112-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/hip-to-be-square/thumbnails/pantry-floor.jpg","","","Pantry Floor - Hip-to-be-square Collection | ColorFlex Wallpaper","Pantry Floor pattern from our Hip-to-be-square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","hip-to-be-square","pantry-floor","4","Star Flowers,Big Scroll,Small Scroll,Outline","24x24","straight","SW0053 PORCELAIN,SW9009 SUBDUED SIENNA,SW6214 UNDERSEAS,SW7699 RUSTIC CITY,SW7740 MESSENGER BAG","27-112","","",""
"hip-to-be-square-doo-see-doo","Doo See Doo","<p>Doo See Doo pattern from our Hip-to-be-square collection. Pattern #27-104 . Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","27-104 -wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/hip-to-be-square/thumbnails/doo-see-doo.jpg","1","Doo See Doo pattern thumbnail","Doo See Doo - Hip-to-be-square Collection | ColorFlex Wallpaper","Doo See Doo pattern from our Hip-to-be-square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","hip-to-be-square","doo-see-doo","10","Ruffle,Outside Border,Design Background,Leaves,Inner Zone,Inner Zone,Flowers,Inner Zone,Centers,Tiny Flowers","24x24","straight","SW6159 HIGH TEA,SW6371 VANILLIN,SW6215 ROCKY RIVER,SW6394 SEQUIN,SW9133 JASPER STONE,SW0006 TOILE RED,SW6395 ALCHEMY,SW7069 IRON ORE","27-104 ","","",""
"hip-to-be-square-doo-see-doo","Doo See Doo","<p>Doo See Doo pattern from our Hip-to-be-square collection. Pattern #27-104 . Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","27-104 -fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/hip-to-be-square/thumbnails/doo-see-doo.jpg","","","Doo See Doo - Hip-to-be-square Collection | ColorFlex Wallpaper","Doo See Doo pattern from our Hip-to-be-square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","hip-to-be-square","doo-see-doo","10","Ruffle,Outside Border,Design Background,Leaves,Inner Zone,Inner Zone,Flowers,Inner Zone,Centers,Tiny Flowers","24x24","straight","SW6159 HIGH TEA,SW6371 VANILLIN,SW6215 ROCKY RIVER,SW6394 SEQUIN,SW9133 JASPER STONE,SW0006 TOILE RED,SW6395 ALCHEMY,SW7069 IRON ORE","27-104 ","","",""
"hip-to-be-square-doo-see-doo","Doo See Doo","<p>Doo See Doo pattern from our Hip-to-be-square collection. Pattern #27-104 . Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","27-104 -decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/hip-to-be-square/thumbnails/doo-see-doo.jpg","","","Doo See Doo - Hip-to-be-square Collection | ColorFlex Wallpaper","Doo See Doo pattern from our Hip-to-be-square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","hip-to-be-square","doo-see-doo","10","Ruffle,Outside Border,Design Background,Leaves,Inner Zone,Inner Zone,Flowers,Inner Zone,Centers,Tiny Flowers","24x24","straight","SW6159 HIGH TEA,SW6371 VANILLIN,SW6215 ROCKY RIVER,SW6394 SEQUIN,SW9133 JASPER STONE,SW0006 TOILE RED,SW6395 ALCHEMY,SW7069 IRON ORE","27-104 ","","",""
"hip-to-be-square-daisey-chain","Daisey Chain","<p>Daisey Chain pattern from our Hip-to-be-square collection. Pattern #27-208. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","27-208-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/hip-to-be-square/thumbnails/daisey-chain.jpg","1","Daisey Chain pattern thumbnail","Daisey Chain - Hip-to-be-square Collection | ColorFlex Wallpaper","Daisey Chain pattern from our Hip-to-be-square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","hip-to-be-square","daisey-chain","4","Outter Edge,Daisey Background,Center Dot,Design","24x24","straight","SW9009 SUBDUED SIENNA,SW0020 PEACOCK PLUME,SW9658 FRESH EUCALYPTUS,SW6395 ALCHEMY,SW7069 IRON ORE","27-208","","",""
"hip-to-be-square-daisey-chain","Daisey Chain","<p>Daisey Chain pattern from our Hip-to-be-square collection. Pattern #27-208. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","27-208-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/hip-to-be-square/thumbnails/daisey-chain.jpg","","","Daisey Chain - Hip-to-be-square Collection | ColorFlex Wallpaper","Daisey Chain pattern from our Hip-to-be-square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","hip-to-be-square","daisey-chain","4","Outter Edge,Daisey Background,Center Dot,Design","24x24","straight","SW9009 SUBDUED SIENNA,SW0020 PEACOCK PLUME,SW9658 FRESH EUCALYPTUS,SW6395 ALCHEMY,SW7069 IRON ORE","27-208","","",""
"hip-to-be-square-daisey-chain","Daisey Chain","<p>Daisey Chain pattern from our Hip-to-be-square collection. Pattern #27-208. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","27-208-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/hip-to-be-square/thumbnails/daisey-chain.jpg","","","Daisey Chain - Hip-to-be-square Collection | ColorFlex Wallpaper","Daisey Chain pattern from our Hip-to-be-square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","hip-to-be-square","daisey-chain","4","Outter Edge,Daisey Background,Center Dot,Design","24x24","straight","SW9009 SUBDUED SIENNA,SW0020 PEACOCK PLUME,SW9658 FRESH EUCALYPTUS,SW6395 ALCHEMY,SW7069 IRON ORE","27-208","","",""
"hip-to-be-square-four-diamonds-mono","Four Diamonds Mono","<p>Four Diamonds Mono pattern from our Hip-to-be-square collection. Pattern #27-106. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","27-106-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/hip-to-be-square/thumbnails/four-diamonds-mono.jpg","1","Four Diamonds Mono pattern thumbnail","Four Diamonds Mono - Hip-to-be-square Collection | ColorFlex Wallpaper","Four Diamonds Mono pattern from our Hip-to-be-square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","hip-to-be-square","four-diamonds-mono","1","Pattern","24x24","straight","SW0050 CLASSIC LIGHT BUFF,SW6159 HIGH TEA","27-106","","",""
"hip-to-be-square-four-diamonds-mono","Four Diamonds Mono","<p>Four Diamonds Mono pattern from our Hip-to-be-square collection. Pattern #27-106. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","27-106-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/hip-to-be-square/thumbnails/four-diamonds-mono.jpg","","","Four Diamonds Mono - Hip-to-be-square Collection | ColorFlex Wallpaper","Four Diamonds Mono pattern from our Hip-to-be-square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","hip-to-be-square","four-diamonds-mono","1","Pattern","24x24","straight","SW0050 CLASSIC LIGHT BUFF,SW6159 HIGH TEA","27-106","","",""
"hip-to-be-square-four-diamonds-mono","Four Diamonds Mono","<p>Four Diamonds Mono pattern from our Hip-to-be-square collection. Pattern #27-106. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","27-106-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/hip-to-be-square/thumbnails/four-diamonds-mono.jpg","","","Four Diamonds Mono - Hip-to-be-square Collection | ColorFlex Wallpaper","Four Diamonds Mono pattern from our Hip-to-be-square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","hip-to-be-square","four-diamonds-mono","1","Pattern","24x24","straight","SW0050 CLASSIC LIGHT BUFF,SW6159 HIGH TEA","27-106","","",""
"hip-to-be-square-sunflower-vine","Sunflower Vine","<p>Sunflower Vine pattern from our Hip-to-be-square collection. Pattern #27-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","27-103-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/hip-to-be-square/thumbnails/sunflower-vine.jpg","1","Sunflower Vine pattern thumbnail","Sunflower Vine - Hip-to-be-square Collection | ColorFlex Wallpaper","Sunflower Vine pattern from our Hip-to-be-square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","hip-to-be-square","sunflower-vine","5","Leaves,Centers,Flower,Tulips,Tulips Outline","24x24","straight","SW0053 PORCELAIN,SW6214 UNDERSEAS,SW6394 SEQUIN,SW6395 ALCHEMY,SW0006 TOILE RED,SW7069 IRON ORE","27-103","","",""
