Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status,Metafield: custom.cf_collection [single_line_text_field],Metafield: custom.cf_pattern_id [single_line_text_field],Metafield: custom.cf_thumbnail [single_line_text_field],Metafield: custom.cf_layers [single_line_text_field],Metafield: custom.cf_designer_colors [single_line_text_field],Metafield: custom.cf_size [single_line_text_field],Metafield: custom.cf_tiling [single_line_text_field]
silk-road-mathura,Mathura - Silk Road Collection,<p>Custom colorable pattern from the Silk Road collection. Choose your colors in the ColorFlex customizer.</p>,Saffron Marigold,Home & Garden > Decor > Wallpaper,wallpaper,"ColorFlex, silk-road, pattern",TRUE,Material,Wallpaper,01-15-115-WP,0,,deny,manual,180.00,,TRUE,TRUE,,https://so-animation.com/colorflex/data/collections/silk-road/thumbnails/mathura.jpg,1,Mathura Pattern,FALSE,Mathura - Silk Road Collection,Customize colors for Mathura pattern in our ColorFlex designer,,,,,new,,,,,,,,lb,,,TRUE,,,TRUE,,,active,silk-road,01-15-115,https://so-animation.com/colorflex/data/collections/silk-road/thumbnails/mathura.jpg,"[""https://so-animation.com/colorflex/data/collections/silk-road/layers/mathura_design_layer-1.jpg""]","[""SC0001 COTTAGE LINEN"",""SW7069 IRON ORE"",""SW6159 HIGH TEA"",""SW6076 TURKISH COFFEE"",""SW0043 PERISTYLE BRASS"",""SW6394 SEQUIN"",""SW7729 EDAMAME"",""SW7726 LEMON VERBENA"",""SW6214 UNDERSEAS"",""SW6212 QUIETUDE"",""SW6243 DISTANCE"",""SW6242 BRACING BLUE"",""SW0033 REMBRANDT RUBY"",""SW0034 ROYCROFT ROSE"",""SW6990 CAVIAR""]",24x24,straight
silk-road-mathura,,,,,,,,Material,Fabric,01-15-115-FB,0,,deny,manual,24.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,,,,,,,,
