"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"folksie-folk-bouquet","Folk Bouquet","<p>Folk Bouquet pattern from our Folksie collection. Pattern #01-18-114. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","folksie, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-18-114-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/folksie/thumbnails/folk-bouquet.jpg","1","Folk Bouquet pattern thumbnail","Folk Bouquet - Folksie Collection | ColorFlex Wallpaper","Folk Bouquet pattern from our Folksie collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","folksie","folk-bouquet","6","Big Flower,Small Flowers,Leaves,Tulips,Buds,Outline","24x24","straight","SC0001 COTTAGE LINEN,SW6306 CORDIAL,SW0034 ROYCROFT ROSE,SW6424 TANSY GREEN,SW6395 ALCHEMY,SW7069 IRON ORE","01-18-114","18","114",""
"folksie-fancy-pantry","Fancy Pantry","<p>Fancy Pantry pattern from our Folksie collection. Pattern #01-18-122. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","folksie, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-18-122-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/folksie/thumbnails/fancy-pantry.jpg","1","Fancy Pantry pattern thumbnail","Fancy Pantry - Folksie Collection | ColorFlex Wallpaper","Fancy Pantry pattern from our Folksie collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","folksie","fancy-pantry","2","Diamonds,Inner Design","24x24","straight","SW0053 PORCELAIN,SW7069 IRON ORE,SW3174 LENNOX HILL","01-18-122","18","122",""
"folksie-ferntastic","Ferntastic","<p>Ferntastic pattern from our Folksie collection. Pattern #01-18-111. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","folksie, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-18-111-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/folksie/thumbnails/ferntastic.jpg","1","Ferntastic pattern thumbnail","Ferntastic - Folksie Collection | ColorFlex Wallpaper","Ferntastic pattern from our Folksie collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","folksie","ferntastic","6","Center Design,Sm Design,Ferns,Diagonal,Corner Design,Dots","24x24","straight","SC0001 COTTAGE LINEN,SW6356 COPPER MOUNTAIN,SW9009 SUBDUED SIENNA,SW6159 HIGH TEA,SW6158 SAWDUST,SW6076 TURKISH COFFEE","01-18-111","18","111",""
"folksie-country-kitchen","Country Kitchen","<p>Country Kitchen pattern from our Folksie collection. Pattern #01-18-123. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","folksie, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-18-123-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/folksie/thumbnails/country-kitchen.jpg","1","Country Kitchen pattern thumbnail","Country Kitchen - Folksie Collection | ColorFlex Wallpaper","Country Kitchen pattern from our Folksie collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","folksie","country-kitchen","5","Pattern 1,Pattern 2,Pattern 3,Pattern 4,Tiny Stars","24x24","straight","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW7069 IRON ORE,SW3174 LENNOX HILL TAN,SW3174 LENNOX HILL TAN,SW3174 LENNOX HILL TAN","01-18-123","18","123",""
"folksie-folk-sketches","Folk Sketches","<p>Folk Sketches pattern from our Folksie collection. Pattern #01-18-106. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","folksie, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-18-106-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/folksie/thumbnails/folk-sketches.jpg","1","Folk Sketches pattern thumbnail","Folk Sketches - Folksie Collection | ColorFlex Wallpaper","Folk Sketches pattern from our Folksie collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","folksie","folk-sketches","9","Page 1,Page 2,Page 3,Page 4,Page 5,Page 6,Round,Little Etchings,Etchings","24x24","half-drop","SW6990 CAVIAR,SW0043 PERISTYLE BRASS,SW0031 DUTCH TILE BLUE,SW0042 RUSKIN ROOM GREEN,SW2813 DOWNING STRAW,SW0033 REMBRANDT RUBY,SW0039 MELLOW MAUVE,SW2811 ROOKWOOD BLUE GREEN,SW0043 PERISTYLE BRASS,SW6990 CAVIAR","01-18-106","18","106",""
"folksie-first-bloom","First Bloom","<p>First Bloom pattern from our Folksie collection. Pattern #01-18-113. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","folksie, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-18-113-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/folksie/thumbnails/first-bloom.jpg","1","First Bloom pattern thumbnail","First Bloom - Folksie Collection | ColorFlex Wallpaper","First Bloom pattern from our Folksie collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","folksie","first-bloom","4","Swag,Leaves & Bulb,Flower,Outline","24x24","straight","SW6371 VANILLIN,SW6394 SEQUIN,SW6215 ROCKY RIVER,SW2802 ROOKWOOD RED,SW6396 DIFFERENT GOLD","01-18-113","18","113",""
